baseID,geneID,gene.name
G000001,HVAEP1.G000001,HVAEP1-G000001
G000002,HVAEP1.G000002,HVAEP1-G000002
G000003,HVAEP1.G000003,HVAEP1-G000003
G000004,HVAEP1.G000004,HVAEP1-G000004
G000005,HVAEP1.G000005,HVAEP1-G000005
G000006,HVAEP1.G000006,HVAEP1-G000006
G000007,HVAEP1.G000007,HVAEP1-G000007
G000008,HVAEP1.G000008,HVAEP1-G000008
G000009,HVAEP1.G000009,HVAEP1-G000009
G000010,HVAEP1.G000010,HVAEP1-G000010
G000011,HVAEP1.G000011,HVAEP1-G000011
G000012,HVAEP1.G000012,HVAEP1-G000012
G000013,HVAEP1.G000013,HVAEP1-G000013
G000014,HVAEP1.G000014,HVAEP1-G000014
G000015,HVAEP1.G000015,HVAEP1-G000015
G000016,HVAEP1.G000016,HVAEP1-G000016
G000017,HVAEP1.G000017,HVAEP1-G000017
G000018,HVAEP1.G000018,HVAEP1-G000018
G000019,HVAEP1.G000019,HVAEP1-G000019
G000020,HVAEP1.G000020,HVAEP1-G000020
G000021,HVAEP1.G000021,HVAEP1-G000021
G000022,HVAEP1.G000022,HVAEP1-G000022
G000023,HVAEP1.G000023,HVAEP1-G000023
G000024,HVAEP1.G000024,HVAEP1-G000024
G000025,HVAEP1.G000025,HVAEP1-G000025
G000026,HVAEP1.G000026,HVAEP1-G000026
G000027,HVAEP1.G000027,HVAEP1-G000027
G000028,HVAEP1.G000028,HVAEP1-G000028
G000029,HVAEP1.G000029,HVAEP1-G000029
G000030,HVAEP1.G000030,HVAEP1-G000030
G000031,HVAEP1.G000031,HVAEP1-G000031
G000032,HVAEP1.G000032,HVAEP1-G000032
G000033,HVAEP1.G000033,HVAEP1-G000033
G000034,HVAEP1.G000034,HVAEP1-G000034
G000035,HVAEP1.G000035,HVAEP1-G000035
G000036,HVAEP1.G000036,HVAEP1-G000036
G000037,HVAEP1.G000037,HVAEP1-G000037
G000038,HVAEP1.G000038,HVAEP1-G000038
G000039,HVAEP1.G000039,HVAEP1-G000039
G000040,HVAEP1.G000040,HVAEP1-G000040
G000041,HVAEP1.G000041,HVAEP1-G000041
G000042,HVAEP1.G000042,HVAEP1-G000042
G000043,HVAEP1.G000043,HVAEP1-G000043
G000044,HVAEP1.G000044,HVAEP1-G000044
G000045,HVAEP1.G000045,HVAEP1-G000045
G000046,HVAEP1.G000046,HVAEP1-G000046
G000047,HVAEP1.G000047,HVAEP1-G000047
G000048,HVAEP1.G000048,HVAEP1-G000048
G000049,HVAEP1.G000049,HVAEP1-G000049
G000050,HVAEP1.G000050,HVAEP1-G000050
G000051,HVAEP1.G000051,HVAEP1-G000051
G000052,HVAEP1.G000052,HVAEP1-G000052
G000053,HVAEP1.G000053,HVAEP1-G000053
G000054,HVAEP1.G000054,HVAEP1-G000054
G000055,HVAEP1.G000055,HVAEP1-G000055
G000056,HVAEP1.G000056,HVAEP1-G000056
G000057,HVAEP1.G000057,HVAEP1-G000057
G000058,HVAEP1.G000058,HVAEP1-G000058
G000059,HVAEP1.G000059,HVAEP1-G000059
G000060,HVAEP1.G000060,HVAEP1-G000060
G000061,HVAEP1.G000061,HVAEP1-G000061
G000062,HVAEP1.G000062,HVAEP1-G000062
G000063,HVAEP1.G000063,HVAEP1-G000063
G000064,HVAEP1.G000064,HVAEP1-G000064
G000065,HVAEP1.G000065,HVAEP1-G000065
G000066,HVAEP1.G000066,HVAEP1-G000066
G000067,HVAEP1.G000067,HVAEP1-G000067
